so_name,fecha,cliente,empresa,so_total,linea_descripcion,producto,cantidad,subtotal_linea
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Tablero MT Siemens 8DJH 36 kV — Suministro e instalación (lote completo)   • Tipo metal enclosed, barra colectora 600 A en cámara hermética sellada con gas SF6 (doble aislamiento)   • 4 celdas: 1 celda de acometida (entrada 34.5 kV) + 3 celdas de derivación (salida a transformadores)   • Tensión de diseño 36 kV / Operación 34.5 kV / BIL 170 kV — Norma IEC 62271-200   • Interruptores en vacío (VCB) removibles 630 A, 36 kV en cada celda   • Seccionador de 3 posiciones (CERRAR–ABRIR–PUESTA A TIERRA) con mecanismo de resorte   • Dispositivos de bloqueo para candado, interruptores auxiliares 1NC+1NA+2CH por función   • Uso interior · IP30 envolvente / IP65 partes activas — Libre de mantenimiento 35 años"" RECEPCIÓN Y PROTECCIÓN  ·  TABLERO MEDIA TENSIÓN 34.5 kV","""Tablero MT Siemens 8DJH 36 kV — Suministro e instalación (lote completo)   • Tipo metal enclosed, barra colectora 600 A en cámara hermética sellada con gas SF6 (doble aislamiento)   • 4 celdas: 1 celda de acometida (entrada 34.5 kV) + 3 celdas de derivación (salida a transformadores)   • Tensión de diseño 36 kV / Operación 34.5 kV / BIL 170 kV — Norma IEC 62271-200   • Interruptores en vacío (VCB) removibles 630 A, 36 kV en cada celda   • Seccionador de 3 posiciones (CERRAR–ABRIR–PUESTA A TIERRA) con mecanismo de resorte   • Dispositivos de bloqueo para candado, interruptores auxiliares 1NC+1NA+2CH por función   • Uso interior · IP30 envolvente / IP65 partes activas — Libre de mantenimiento 35 años""",1.0,4873159.4
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Relevador SIPROTEC 4/5 — Protección multifunción por celda derivación (3 unidades)   • Relé numérico multifunción 7SJ85/7SJ86 o equivalente SIPROTEC 5 montado en puerta de celda   • Funciones integradas: 50/51 (sobreintensidad fase), 51N (tierra), 27/59 (sub/sobretensión)   • Reenganche automático (79), supervisión de circuito de disparo (74TC), registro de perturbaciones   • Comunicación IEC 61850 GOOSE + Modbus TCP — Display LCD, LEDs programables   • Rango de ajuste de corriente: 0.1 – 35 × In — Tiempo de operación < 20 ms""","""Relevador SIPROTEC 4/5 — Protección multifunción por celda derivación (3 unidades)   • Relé numérico multifunción 7SJ85/7SJ86 o equivalente SIPROTEC 5 montado en puerta de celda   • Funciones integradas: 50/51 (sobreintensidad fase), 51N (tierra), 27/59 (sub/sobretensión)   • Reenganche automático (79), supervisión de circuito de disparo (74TC), registro de perturbaciones   • Comunicación IEC 61850 GOOSE + Modbus TCP — Display LCD, LEDs programables   • Rango de ajuste de corriente: 0.1 – 35 × In — Tiempo de operación < 20 ms""",3.0,424583.4
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Medidor SICAM P850 multifunción — Calidad de energía y medición avanzada   • Medidor de energía Clase 0.5S (IEC 62053-22) montado en puerta de celda de acometida   • Mide: V (L-L y L-N), I, P activa/reactiva/aparente, FP, frecuencia, THD hasta arm. 63   • Registro de calidad de energía conforme IEC 61000-4-30 Clase A   • Salidas: Ethernet 10/100 Mbps (IEC 61850 / Modbus TCP), RS-485 Modbus RTU   • Pantalla gráfica TFT 4.3"""" — Rango de entrada: 57.7–480 V L-N; 1–5 A secundario TC""","""Medidor SICAM P850 multifunción — Calidad de energía y medición avanzada   • Medidor de energía Clase 0.5S (IEC 62053-22) montado en puerta de celda de acometida   • Mide: V (L-L y L-N), I, P activa/reactiva/aparente, FP, frecuencia, THD hasta arm. 63   • Registro de calidad de energía conforme IEC 61000-4-30 Clase A   • Salidas: Ethernet 10/100 Mbps (IEC 61850 / Modbus TCP), RS-485 Modbus RTU   • Pantalla gráfica TFT 4.3"""" — Rango de entrada: 57.7–480 V L-N; 1–5 A secundario TC""",1.0,156426.4
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Cable de control multi-conductor 2.5 mm² Cu — cableado interior de celdas   • Cable flexible 450/750 V, aislamiento PVC 70°C tipo SJT/control, Color-codificado   • Para interconexión de contactos auxiliares VCB–SIPROTEC, señales de posición y alarmas   • Cantidad estimada: 8–10 m/celda × 4 celdas = 40 m + 20% desperdicio → Lote""","""Cable de control multi-conductor 2.5 mm² Cu — cableado interior de celdas   • Cable flexible 450/750 V, aislamiento PVC 70°C tipo SJT/control, Color-codificado   • Para interconexión de contactos auxiliares VCB–SIPROTEC, señales de posición y alarmas   • Cantidad estimada: 8–10 m/celda × 4 celdas = 40 m + 20% desperdicio → Lote""",1.0,16060.94
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Borneras DIN 35, terminales y etiquetado completo por celda — juego de 4   • Borneras de tornillo WAGO / Phoenix Contact serie 6 mm² para cables de control ≤ 2.5 mm²   • Terminales de punta (ferrules) aisladas, punteras pin para conectores DIN   • Etiquetas termoimprimibles resistentes a aceite y humedad — Identificación IEC 81346   • Porta-borneras DIN 35, topes finales, puentes de conexión y separadores   • Un juego completo por celda = 4 juegos en total""","""Borneras DIN 35, terminales y etiquetado completo por celda — juego de 4   • Borneras de tornillo WAGO / Phoenix Contact serie 6 mm² para cables de control ≤ 2.5 mm²   • Terminales de punta (ferrules) aisladas, punteras pin para conectores DIN   • Etiquetas termoimprimibles resistentes a aceite y humedad — Identificación IEC 81346   • Porta-borneras DIN 35, topes finales, puentes de conexión y separadores   • Un juego completo por celda = 4 juegos en total""",4.0,32082.72
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Cable RS-485 apantallado para comunicación SIPROTEC–SICAM   • Cable par trenzado apantallado (STP) 2×0.75 mm² tipo Belden 9841 o equivalente   • Capacitancia < 12.5 pF/pie — Impedancia 120 Ω — Cubierta LSZH (baja emisión de humo)   • Interconexión RS-485 entre celdas SIPROTEC hasta SICAM P850 y gateway de comunicaciones   • Longitud estimada: 30 m incluyendo margen de instalación y paso por canaletas""","""Cable RS-485 apantallado para comunicación SIPROTEC–SICAM   • Cable par trenzado apantallado (STP) 2×0.75 mm² tipo Belden 9841 o equivalente   • Capacitancia < 12.5 pF/pie — Impedancia 120 Ω — Cubierta LSZH (baja emisión de humo)   • Interconexión RS-485 entre celdas SIPROTEC hasta SICAM P850 y gateway de comunicaciones   • Longitud estimada: 30 m incluyendo margen de instalación y paso por canaletas""",30.0,3043.8
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Sistema de puesta a tierra del tablero 8DJH — barra y cable de tierra   • Barra colectora de tierra interior: cobre electrolítico 50×5 mm, L=600 mm con terminales   • Cable de tierra desnudo: 70 mm² Cu recocido desde barra del tablero hasta malla de tierra del edificio   • Terminales bimetálicas de compresión hidráulica 70 mm² — grampas de unión barra-cable   • Resistencia de tierra objetivo ≤ 5 Ω (según NOM-001-SEDE y malla de tierras del sitio)""","""Sistema de puesta a tierra del tablero 8DJH — barra y cable de tierra   • Barra colectora de tierra interior: cobre electrolítico 50×5 mm, L=600 mm con terminales   • Cable de tierra desnudo: 70 mm² Cu recocido desde barra del tablero hasta malla de tierra del edificio   • Terminales bimetálicas de compresión hidráulica 70 mm² — grampas de unión barra-cable   • Resistencia de tierra objetivo ≤ 5 Ω (según NOM-001-SEDE y malla de tierras del sitio)""",1.0,12881.86
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Accesorios mecánicos de instalación del tablero — anclaje, nivelación y señalización   • 4 pernos de anclaje M16×150 mm Acero Gr.8.8 + placa base 150×150×6 mm + tuerca + arandela   • Soportes niveladores de acero galvanizado (4 uds.) — ajuste ±25 mm en plano horizontal   • Canal de cables conduit rígido EMT Ø2"""" (50 mm): 15 m para cableado de control en planta   • Etiquetado bilingüe (español/inglés) y señalización de seguridad NOM-001-SEDE y NOM-004-STPS   • Incluye: placas de advertencia MT, indicadores de fases, placa de circuito en puerta""","""Accesorios mecánicos de instalación del tablero — anclaje, nivelación y señalización   • 4 pernos de anclaje M16×150 mm Acero Gr.8.8 + placa base 150×150×6 mm + tuerca + arandela   • Soportes niveladores de acero galvanizado (4 uds.) — ajuste ±25 mm en plano horizontal   • Canal de cables conduit rígido EMT Ø2"""" (50 mm): 15 m para cableado de control en planta   • Etiquetado bilingüe (español/inglés) y señalización de seguridad NOM-001-SEDE y NOM-004-STPS   • Incluye: placas de advertencia MT, indicadores de fases, placa de circuito en puerta""",1.0,15866.92
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Pruebas eléctricas y puesta en servicio — Tablero MT 8DJH (ver detalle Bloque 1)   • Incluye ajuste de curvas de protección SIPROTEC, inyección secundaria de corriente y tensión   • Prueba de alto potencial Hi-Pot sobre barras principales (80 kV CA / 1 min)   • SAT (Site Acceptance Test) según protocolo Siemens — emite certificado de conformidad   • Verificación de secuencia de fases, polaridad de TCs y TPs, comprobación de medición   • Reporte técnico entregable con curvas ajustadas, fotos y lista de verificación firmada""","""Pruebas eléctricas y puesta en servicio — Tablero MT 8DJH (ver detalle Bloque 1)   • Incluye ajuste de curvas de protección SIPROTEC, inyección secundaria de corriente y tensión   • Prueba de alto potencial Hi-Pot sobre barras principales (80 kV CA / 1 min)   • SAT (Site Acceptance Test) según protocolo Siemens — emite certificado de conformidad   • Verificación de secuencia de fases, polaridad de TCs y TPs, comprobación de medición   • Reporte técnico entregable con curvas ajustadas, fotos y lista de verificación firmada""",1.0,199983.0
SO11771,2026-07-24,"Conmet de México, S.A. de C.V.",SERVICIOS FTS,53190685.1,"""Cable 35 kV XLPE 240 mm² Cu, conexión celdas MT a transformadores.   • Aislamiento: XLPE semiconductora interior + XLPE 4.5 mm + semiconductora exterior + pantalla Cu   • 3 circuitos MT (uno por transformador) × 3 fases × 8 m promedio = 72 m totales   • Conexión del bus interno 8DJH (celda derivación) hasta terminales AT del transformador GEAFOL.""","""Cable 35 kV XLPE 240 mm² Cu, conexión celdas MT a transformadores.   • Aislamiento: XLPE semiconductora interior + XLPE 4.5 mm + semiconductora exterior + pantalla Cu   • 3 circuitos MT (uno por transformador) × 3 fases × 8 m promedio = 72 m totales   • Conexión del bus interno 8DJH (celda derivación) hasta terminales AT del transformador GEAFOL.""",72.0,226202.4
