corte_denue,id,clee,nom_estab,raz_social,clave_norm,codigo_act,nombre_act,per_ocu,estrato_min,cod_postal,cve_ent,entidad,cve_mun,municipio,localidad,nomb_asent,nom_vial,numero_ext,dominio_correo,www,latitud,longitud,fecha_alta,sitios_nacionales,piso_aplicado,motivo_ingreso,es_punto_venta,excluido_por
2026-05,6793321,05011311999000026002017530M4,VILLA DE PATOS,VILLA DE PATOS,VILLA DE PATOS,311999,Elaboración de otros alimentos,51 a 100 personas,51,25950,05,Coahuila de Zaragoza,011,General Cepeda,General Cepeda,CENTRO HISTÓRICO,BENITO JUÁREZ,213,villadepatos.com,,25.37524586,-101.47705597,2017-03,,101,pendiente_rescate,no,
2026-05,8723333,05017311612000014000024424S6,PLANTA IFOOD COYOTE,IFOOD MEXICO,IFOOD MEXICO,311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles",31 a 50 personas,31,27457,05,Coahuila de Zaragoza,017,Matamoros,San Antonio del Coyote,HORMIGUERO,NINGUNO,3560,grupo2020.mx,,25.69724475,-103.31816631,2019-11,,101,pendiente_rescate,no,
2026-05,9449928,05018312113000074000099645S6,FABRICA DE HIELO APODACA SUCURSAL MONCLOVA,FABRICA DE HIELO APODACA,FABRICA DE HIELO APODACA,312113,Elaboración de hielo,31 a 50 personas,31,25790,05,Coahuila de Zaragoza,018,Monclova,Monclova,EVA SAMANO,ÁLVARO OBREGÓN,400,aguafria.mx,WWW.AGUAFRIA.MX,26.86033009,-101.42652374,2023-11,,51,pendiente_rescate,no,
2026-05,310767,05018461213000412012000000U5,HIELO GUERRA,HIELO GUERRA,HIELO GUERRA,312113,Elaboración de hielo,31 a 50 personas,31,25716,05,Coahuila de Zaragoza,018,Monclova,Monclova,CUARTO REPARTO,BENITO JUAREZ,1308,hotmail.com,,26.92054362,-101.4380473,2010-07,,51,pendiente_rescate,no,
2026-05,6299832,05018311513000044001000000U1,PRODUCTOS LACTEOS VAQUERO,PRODUCTOS LACTEOS VAQUERO,PRODUCTOS LACTEOS VAQUERO,311513,Elaboración de derivados y fermentos lácteos,31 a 50 personas,31,25750,05,Coahuila de Zaragoza,018,Monclova,Monclova,CUARTO REPARTO,MORELIA,908,hotmail.com,,26.91689826,-101.43160011,2010-07,,51,pendiente_rescate,no,
2026-05,6199041,05018311520000153002006629S5,HELADOS HOLANDA,UNILEVER DE MEXICO,UNILEVER DE MEXICO,311520,Elaboración de helados y paletas,51 a 100 personas,51,25730,05,Coahuila de Zaragoza,018,Monclova,Monclova,EL PUEBLO,GUADALUPE VICTORIA,106,,,26.92178634,-101.42179918,2024-05,,51,piso_estrato,no,
2026-05,6300369,05019311613000025001000000U6,EMPACADORA KACER,EMPACADORA KACER,EMPACADORA KACER,311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles",101 a 250 personas,101,26500,05,Coahuila de Zaragoza,019,Morelos,Morelos,ZONA CENTRO,GUERRERO,906,hotmail.com,WWW.GRUPOKACER.COM,28.41004582,-100.87805822,2010-07,,101,piso_estrato,no,
2026-05,12320254,05021311212000024000000000U6,GRUPO CELEMANIA MILL,GRUPO CELEMANIA MILL,GRUPO CELEMANIA MILL,311212,Elaboración de harina de trigo,31 a 50 personas,31,25550,05,Coahuila de Zaragoza,021,Nadadores,Las Flores (Estación Celemania),LAS FLORES CELEMANIA,CAMINO A HUIZACHAL,,harina.miller.com.mx,WWW.HARINAMILLER.COM.MX,27.0453508,-101.6896509,2026-04,,101,pendiente_rescate,no,
2026-05,6299331,05022312111000017001008191S1,BEBIDAS MUNDIALES SUC. 3342 PIEDRAS NEGRAS,BEBIDAS MUNDIALES,BEBIDAS MUNDIALES,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,251,26170,05,Coahuila de Zaragoza,022,Nava,Clave Economica,TRAMPO PIEDRAS NEGRAS,NINGUNO,,,,28.6030809,-100.57942235,2010-07,,51,piso_estrato,no,
2026-05,6301888,05022312120000017000000000U2,COMPAÑIA CERVECERA DE COAHUILA,COMPAÑIA CERVECERA DE COAHUILA,COMPANIA CERVECERA DE COAHUILA,312120,Elaboración de cerveza,251 y más personas,251,26170,05,Coahuila de Zaragoza,022,Nava,Clave Economica,RIO ESCONDIDO,MONCLOVA PIEDRAS NEGRAS,,cbrands.com,,28.5789733,-100.60332085,2014-12,,51,piso_estrato,no,
